"date","logReturn"
"2015-1-6",0.000277530339875653
"2015-1-7",0.00669107679681247
"2015-1-8",-0.0241454809177792
"2015-1-9",-0.00244723000076696
"2015-1-12",-0.0172198651347344
"2015-1-13",0.00185007060141906
"2015-1-14",-0.00398282278311335
"2015-1-15",0.0347685309124053
"2015-1-16",0.0119293408959873
"2015-1-19",-0.0801742631893525
"2015-1-20",0.0180308252423256
"2015-1-21",0.046358271155146
"2015-1-22",0.00591876573187555
"2015-1-23",0.00251527368946292
"2015-1-26",0.00933051458449441
"2015-1-27",-0.00897255779798733
"2015-1-28",-0.0141831863795847
"2015-1-29",-0.0132278833303445
"2015-1-30",-0.0160493877013881
"2015-2-2",-0.0258933543737641
"2015-2-3",0.0241942828425241
"2015-2-4",-0.00965042980765674
"2015-2-5",-0.0119164857370002
"2015-2-6",-0.0195163008727306
"2015-2-9",0.00622588516046463
"2015-2-10",0.0149023635869945
"2015-2-11",0.0051148733023485
"2015-2-12",0.00496595619907225
"2015-2-13",0.00953709843519945
"2015-2-16",0.00576704123502303
"2015-2-17",0.00758976448629944
"2015-2-25",-0.00558083523923614
"2015-2-26",0.0213024356412124
"2015-2-27",0.00361344447791012
"2015-3-2",0.00781759410504534
"2015-3-3",-0.022194073012173
"2015-3-4",0.00503777862986965
"2015-3-5",-0.00951292481395427
"2015-3-6",-0.00224664830917831
"2015-3-9",0.018711958638626
"2015-3-10",-0.00496018307762469
"2015-3-11",0.00146876171498356
"2015-3-12",0.0175962565594894
"2015-3-13",0.00701853308693323
"2015-3-16",0.0223954386608245
"2015-3-17",0.0154056109530583
"2015-3-18",0.0210314030652565
"2015-3-19",0.00138835175808438
"2015-3-20",0.00973674248302991
"2015-3-23",0.0192776724369104
"2015-3-24",0.000997406284492186
"2015-3-25",-0.00834591780970761
"2015-3-26",0.00582066051774532
"2015-3-27",0.002441275014883
"2015-3-30",0.0255360795204318
"2015-3-31",-0.0102649130062762
"2015-4-1",0.0165096186037808
"2015-4-2",0.0040570663304127
"2015-4-3",0.00992243218619748
"2015-4-7",0.0249076491639855
"2015-4-8",0.00840356922980767
"2015-4-9",-0.00937592535036913
"2015-4-10",0.0192151900940658
"2015-4-13",0.0214328424146668
"2015-4-14",0.00335704082131727
"2015-4-15",-0.0125090898054321
"2015-4-16",0.0267343539623202
"2015-4-17",0.0218067333992131
"2015-4-20",-0.0165142187568978
"2015-4-21",0.0179872545485793
"2015-4-22",0.0241311002402735
"2015-4-23",0.00363554241346087
"2015-4-24",-0.00472742189656472
"2015-4-27",0.0299784025643159
"2015-4-28",-0.0113711170476929
"2015-4-29",9.15911505714462e-05
"2015-4-30",-0.00784011694518227
"2015-5-4",0.00869753928265382
"2015-5-5",-0.0414107420367245
"2015-5-6",-0.0162855763575749
"2015-5-7",-0.028068804445196
"2015-5-8",0.0225324597648928
"2015-5-11",0.0299009335976574
"2015-5-12",0.0154877849682151
"2015-5-13",-0.00580155620979639
"2015-5-14",0.000582586173544897
"2015-5-15",-0.0160288915825824
"2015-5-18",-0.00586581571995026
"2015-5-19",0.0308171458870632
"2015-5-20",0.00648479681850667
"2015-5-21",0.0185238553923384
"2015-5-22",0.0279063980315879
"2015-5-25",0.0329864989963067
"2015-5-26",0.0199704313926237
"2015-5-27",0.00625420075041383
"2015-5-28",-0.0672582802041184
"2015-5-29",-0.00184791880150748
"2015-6-1",0.0459803379239414
"2015-6-2",0.0167963148876478
"2015-6-3",-0.00011201047615117
"2015-6-4",0.00753167783416409
"2015-6-5",0.015245726678458
"2015-6-8",0.0214247907922065
"2015-6-9",-0.00358209571336943
"2015-6-10",-0.00146581536035129
"2015-6-11",0.00304078500723115
"2015-6-12",0.00870150533946479
"2015-6-15",-0.0202092251839296
"2015-6-16",-0.035290614913972
"2015-6-17",0.0163306126458345
"2015-6-18",-0.037435958419497
"2015-6-19",-0.0663043492067974
"2015-6-23",0.0216754207865577
"2015-6-24",0.0245322361247986
"2015-6-25",-0.035232811741098
"2015-6-26",-0.0768462894944637
"2015-6-29",-0.0339207141103373
"2015-6-30",0.0538385163023882
"2015-7-1",-0.0536732215407447
"2015-7-2",-0.0353844812350363
"2015-7-3",-0.0594541419106154
"2015-7-6",0.0238499920941706
"2015-7-7",-0.0130055957967823
"2015-7-8",-0.0608206704065903
"2015-7-9",0.0560361202684856
"2015-7-10",0.0444167151962152
"2015-7-13",0.0235963441352336
"2015-7-14",-0.0116279201638143
"2015-7-15",-0.0307364636301113
"2015-7-16",0.00458259419213292
"2015-7-17",0.034492072290135
"2015-7-20",0.00874530384145977
"2015-7-21",0.00638221942691075
"2015-7-22",0.0020836138084821
"2015-7-23",0.0240184209092664
"2015-7-24",-0.0129376056382693
"2015-7-27",-0.0886493855834605
"2015-7-28",-0.0169346923060552
"2015-7-29",0.0338645139527554
"2015-7-30",-0.0222559333340175
"2015-7-31",-0.0114093102751021
"2015-8-3",-0.0112041838276706
"2015-8-4",0.0362207506675141
"2015-8-5",-0.016634146829583
"2015-8-6",-0.00898035020675714
"2015-8-7",0.0223241520482151
"2015-8-10",0.0480293334277402
"2015-8-11",-0.000129831613671527
"2015-8-12",-0.0106447833549126
"2015-8-13",0.0174066489992359
"2015-8-14",0.00271973642027135
"2015-8-17",0.00712152777347974
"2015-8-18",-0.0634455547448027
"2015-8-19",0.0121848113402319
"2015-8-20",-0.0348152720881796
"2015-8-21",-0.0436626366938242
"2015-8-24",-0.0887290560919087
"2015-8-25",-0.0793759850110352
"2015-8-26",-0.0127898339989549
"2015-8-27",0.0520174222792402
